rotate,-8,x,z,,
rotate,8,i,x,,
rotate,-8,x,z,,
rotate,-8,i,x,,
rotate,-8,x,z,,
rotate,-8,i,x,,
rotate,8,x,z,,
rotate,8,i,x,,
rotate,-8,x,z,,
rotate,8,i,x,,
rotate,-8,x,z,,
rotate,-8,i,x,,
rotate,8,x,z,,
rotate,8,i,x,,
rotate,8,x,z,,
rotate,8,i,x,,
rotate,8,x,z,,
rotate,-8,x,z,,
rotate,8,x,x,,
rotate,8,x,z,,
rotate,-8,x,x,,
rotate,8,x,z,,
rotate,8,x,x,,
rotate,8,x,z,,
rotate,8,x,x,,
rotate,8,x,z,,
rotate,8,x,x,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,8,x,z,,
rotate,8,x,y,,
rotate,8,x,z,,
rotate,-8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,8,x,z,,
rotate,-8,x,y,,
rotate,-8,x,z,,
rotate,-8,x,y,,
rotate,-8,x,z,,
rotate,-8,x,y,,
rotate,-8,x,y,,
rotate,-8,x,z,,
rotate,-8,x,y,,
rotate,8,x,z,,
rotate,-8,x,y,,
rotate,8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,-8,x,y,,
rotate,-8,x,z,,
rotate,-8,x,y,,
rotate,8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,-8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,8,x,y,,
rotate,-8,x,z,,
rotate,-8,x,x,,
rotate,-8,x,y,,
rotate,-8,x,x,,
rotate,8,x,y,,
rotate,-8,x,x,,
rotate,8,x,y,,
rotate,8,x,x,,
rotate,-8,x,y,,
rotate,-8,x,x,,
rotate,-8,x,y,,
rotate,-8,x,x,,
rotate,8,x,y,,
rotate,8,x,x,,
rotate,-8,x,y,,
rotate,8,x,x,,
rotate,-8,x,y,,
rotate,8,x,x,,
rotate,8,x,x,,
